scientific_name;genus;species-tobesplit;country_id;locality;ddlat;ddlong;recorded_by;colnum;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;barcode;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;prel_bc;prel_bc2;prel_herbCode;prel_code;prel_code_X;tmp_hc;st_barcode
Uvaria grandiflora Roxb. ex Hornem.;Uvaria;Uvaria grandiflora;ID;West Sumatra;-0.6832;100.3186;;;3;11;1996;P. Akhriadi;2003-11-01T00:00:00;;;;0;0;0;0;0;0;01;11;2003;0;0;0;;;;<NA>;;;
Uvaria littoralis (Blume) Blume;Uvaria;Uvaria littoralis;ID;West Sumatra;-0.1282;100.6967;;;17;4;1999;P. Akhriadi;2003-11-17T00:00:00;;;;0;0;0;0;0;0;17;11;2003;0;0;0;;;;<NA>;;;
Phaeanthus ophthalmicus (Roxb. ex G.Don) J.Sinclair;Phaeanthus;Phaeanthus ophthalmicus;ID;West Sumatra;0.55;100.02;;;6;11;1989;P. Akhriadi;2003-10-22T00:00:00;;;;0;0;0;0;0;0;22;10;2003;0;0;0;;;;<NA>;;;
Uvaria hirsuta Jack;Uvaria;Uvaria hirsuta;ID;West Sumatra;-0.1282;100.6967;;;1;12;1994;P. Akhriadi;2003-11-01T00:00:00;;;;0;0;0;0;0;0;01;11;2003;0;0;0;;;;<NA>;;;
Polyalthia cauliflora Hook.f. & Thomson;Polyalthia;Polyalthia cauliflora;ID;West Sumatra;-0.47;100.37;;;1;11;1992;P. Akhriadi;2002-09-01T00:00:00;;;;0;0;0;0;0;0;01;09;2002;0;0;0;;;;<NA>;;;
Maasia sumatrana (Miq.) Mols, Kessler & Rogstad;Maasia;Maasia sumatrana;ID;West Sumatra;-0.8895;100.5206;;;22;5;2002;P. Akhriadi;2002-06-01T00:00:00;;;;0;0;0;0;0;0;01;06;2002;0;0;0;;;;<NA>;;;
Polyalthia cauliflora Hook.f. & Thomson;Polyalthia;Polyalthia cauliflora;ID;West Sumatra;-0.47;100.37;;;2;3;2002;P. Akhriadi;2002-09-01T00:00:00;;;;0;0;0;0;0;0;01;09;2002;0;0;0;;;;<NA>;;;
Maasia sumatrana (Miq.) Mols, Kessler & Rogstad;Maasia;Maasia sumatrana;ID;West Sumatra;-2.149903;100.983277;;;23;1;2002;P. Akhriadi;2002-06-01T00:00:00;;;;0;0;0;0;0;0;01;06;2002;0;0;0;;;;<NA>;;;
Uvaria hirsuta Jack;Uvaria;Uvaria hirsuta;ID;West Sumatra;-1.25;100.53;;;7;4;2002;P. Akhriadi;2003-11-01T00:00:00;;;;0;0;0;0;0;0;01;11;2003;0;0;0;;;;<NA>;;;
Popowia pisocarpa (Blume) Endl. ex Walp.;Popowia;Popowia pisocarpa;ID;West Sumatra;-0.79;100.66;;;12;2;1981;P. Akhriadi;2003-11-06T00:00:00;;;;0;0;0;0;0;0;06;11;2003;0;0;0;;;;<NA>;;;
Uvaria grandiflora Roxb. ex Hornem.;Uvaria;Uvaria grandiflora;ID;West Sumatra;-0.1282;100.6967;;;3;6;2001;P. Akhriadi;2003-11-01T00:00:00;;;;0;0;0;0;0;0;01;11;2003;0;0;0;;;;<NA>;;;
Popowia pisocarpa (Blume) Endl. ex Walp.;Popowia;Popowia pisocarpa;ID;West Sumatra;-0.41;100.73;;;5;5;1990;P. Akhriadi;2003-11-06T00:00:00;;;;0;0;0;0;0;0;06;11;2003;0;0;0;;;;<NA>;;;
Uvaria grandiflora Roxb. ex Hornem.;Uvaria;Uvaria grandiflora;ID;West Sumatra;-0.1282;100.6967;;;2;6;2001;P. Akhriadi;2003-11-17T00:00:00;;;;0;0;0;0;0;0;17;11;2003;0;0;0;;;;<NA>;;;
Annonaceae;;;ID;West Sumatra;-0.29;100.62;;;18;10;1986;;;;;;0;0;0;0;0;0;;;;0;0;0;;;;<NA>;;;
Pseuduvaria rugosa (Blume) Merr.;Pseuduvaria;Pseuduvaria rugosa;ID;Riau;-0.77;102.55;;;1;11;2001;P. Akhriadi;2003-11-01T00:00:00;;;;0;0;0;0;0;0;01;11;2003;0;0;0;;;;<NA>;;;
Uvaria javana Dunal;Uvaria;Uvaria javana;ID;West Sumatra;-0.41;100.73;;;5;5;1990;P. Akhriadi;2003-11-01T00:00:00;;;;0;0;0;0;0;0;01;11;2003;0;0;0;;;;<NA>;;;
Uvaria hirsuta Jack;Uvaria;Uvaria hirsuta;ID;West Sumatra;-0.41;100.73;;;7;11;1993;P. Akhriadi;2003-11-01T00:00:00;;;;0;0;0;0;0;0;01;11;2003;0;0;0;;;;<NA>;;;
Polyalthia cauliflora Hook.f. & Thomson;Polyalthia;Polyalthia cauliflora;ID;West Sumatra;-0.47;100.37;;;2;3;2002;P. Akhriadi;2002-09-01T00:00:00;;;;0;0;0;0;0;0;01;09;2002;0;0;0;;;;<NA>;;;
Phaeanthus ophthalmicus (Roxb. ex G.Don) J.Sinclair;Phaeanthus;Phaeanthus ophthalmicus;ID;Riau;-0.55;102.41;;;26;10;1995;P. Akhriadi;2003-10-01T00:00:00;;;;0;0;0;0;0;0;01;10;2003;0;0;0;;;;<NA>;;;
Annonaceae;;;ID;West Sumatra;-0.9057;100.6271;;;16;1;1981;P. Akhriadi;2003-11-01T00:00:00;;;;0;0;0;0;0;0;01;11;2003;0;0;0;;;;<NA>;;;
Uvaria grandiflora Roxb. ex Hornem.;Uvaria;Uvaria grandiflora;ID;West Sumatra;-1.03;100.4;;;25;5;2002;P. Akhriadi;2003-11-01T00:00:00;;;;0;0;0;0;0;0;01;11;2003;0;0;0;;;;<NA>;;;
Phaeanthus ophthalmicus (Roxb. ex G.Don) J.Sinclair;Phaeanthus;Phaeanthus ophthalmicus;ID;West Sumatra;-0.55;102.41;;;27;3;1996;P. Akhriadi;2003-10-28T00:00:00;;;;0;0;0;0;0;0;28;10;2003;0;0;0;;;;<NA>;;;
Annonaceae;;;ID;West Sumatra;0.001566;100.220186;;;10;9;1988;P. Akhriadi;2003-11-01T00:00:00;;;;0;0;0;0;0;0;01;11;2003;0;0;0;;;;<NA>;;;
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;Goniothalamus macrophyllus;ID;West Sumatra;-0.8895;100.5206;;;19;10;2000;P. Akhriadi;2004-05-01T00:00:00;;;;0;0;0;0;0;0;01;05;2004;0;0;0;;;;<NA>;;;
Polyalthia cauliflora Hook.f. & Thomson;Polyalthia;Polyalthia cauliflora;ID;West Sumatra;-0.9599;100.4521;;;;;;P. Akhriadi;2002-05-28T00:00:00;;;;0;0;0;0;0;0;28;05;2002;0;0;0;;;;<NA>;;;
Uvaria hirsuta Jack;Uvaria;Uvaria hirsuta;ID;West Sumatra;-0.41;100.73;;;7;11;1993;P. Akhriadi;2003-11-01T00:00:00;;;;0;0;0;0;0;0;01;11;2003;0;0;0;;;;<NA>;;;
Uvaria grandiflora Roxb. ex Hornem.;Uvaria;Uvaria grandiflora;ID;West Sumatra;-0.1282;100.6967;;;2;6;2001;P. Akhriadi;2003-11-01T00:00:00;;;;0;0;0;0;0;0;01;11;2003;0;0;0;;;;<NA>;;;
Uvaria hirsuta Jack;Uvaria;Uvaria hirsuta;ID;West Sumatra;-0.41;100.73;;;7;11;1993;P. Akhriadi;2003-11-01T00:00:00;;;;0;0;0;0;0;0;01;11;2003;0;0;0;;;;<NA>;;;
Uvaria hirsuta Jack;Uvaria;Uvaria hirsuta;ID;West Sumatra;-0.41;100.73;;;7;11;1993;P. Akhriadi;2003-11-01T00:00:00;;;;0;0;0;0;0;0;01;11;2003;0;0;0;;;;<NA>;;;
Uvaria hirsuta Jack;Uvaria;Uvaria hirsuta;ID;West Sumatra;-0.1282;100.6967;;;15;11;1992;P. Akhriadi;2003-11-01T00:00:00;;;;0;0;0;0;0;0;01;11;2003;0;0;0;;;;<NA>;;;
Uvaria hirsuta Jack;Uvaria;Uvaria hirsuta;ID;West Sumatra;-0.1282;100.6967;;;30;10;1999;P. Akhriadi;2003-11-01T00:00:00;;;;0;0;0;0;0;0;01;11;2003;0;0;0;;;;<NA>;;;
Polyalthia lateriflora (Blume) Kurz;Polyalthia;Polyalthia lateriflora;ID;West Sumatra;-0.8895;100.5206;;;29;9;1989;Rezi;2019-06-28T00:00:00;;;;0;0;0;0;0;0;28;06;2019;0;0;0;;;;<NA>;;;
Phaeanthus ophthalmicus (Roxb. ex G.Don) J.Sinclair;Phaeanthus;Phaeanthus ophthalmicus;ID;Jambi;-1.14;102.14;;;13;9;1995;P. Akhriadi;2003-10-28T00:00:00;;;;0;0;0;0;0;0;28;10;2003;0;0;0;;;;<NA>;;;
Pseuduvaria reticulata (Blume) Miq.;Pseuduvaria;Pseuduvaria reticulata;ID;Riau;-0.55;102.41;;;28;3;1996;P. Akhriadi;2003-11-01T00:00:00;;;;0;0;0;0;0;0;01;11;2003;0;0;0;;;;<NA>;;;
Maasia sumatrana (Miq.) Mols, Kessler & Rogstad;Maasia;Maasia sumatrana;ID;West Sumatra;-0.8895;100.5206;;;28;8;1981;P. Akhriadi;2002-06-01T00:00:00;;;;0;0;0;0;0;0;01;06;2002;0;0;0;;;;<NA>;;;
Pseuduvaria reticulata (Blume) Miq.;Pseuduvaria;Pseuduvaria reticulata;ID;Riau;-0.39;102.44;;;26;9;2001;R. Tamin;2001-12-10T00:00:00;;;;0;0;0;0;0;0;10;12;2001;0;0;0;;;;<NA>;;;
Annonaceae;;;ID;West Sumatra;-0.8895;100.5206;;;29;4;2017;;;;;;0;0;0;0;0;0;;;;0;0;0;;;;<NA>;;;
Polyalthia cauliflora Hook.f. & Thomson;Polyalthia;Polyalthia cauliflora;ID;West Sumatra;0.001566;100.220186;;;10;9;1988;P. Akhriadi;2002-09-01T00:00:00;;;;0;0;0;0;0;0;01;09;2002;0;0;0;;;;<NA>;;;
Popowia pisocarpa (Blume) Endl. ex Walp.;Popowia;Popowia pisocarpa;ID;West Sumatra;-0.9599;100.4521;;;18;8;1983;P. Akhriadi;2003-11-06T00:00:00;;;;0;0;0;0;0;0;06;11;2003;0;0;0;;;;<NA>;;;
